X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-123.262497,44.591301,0,0,178,69,2020/09/27 18:34:29+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.591358,0,0,179,69,2020/09/27 18:34:30+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.591412,0,0,180,69,2020/09/27 18:34:31+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.591465,0,0,181,69,2020/09/27 18:34:32+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.591518,0,0,182,69.2,2020/09/27 18:34:33+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.591564,0,0,183,69.2,2020/09/27 18:34:34+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.591614,0,0,184,69.2,2020/09/27 18:34:35+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.5916629,0,0,185,69.2,2020/09/27 18:34:36+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.591713,0,0,186,69.2,2020/09/27 18:34:37+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.591763,0,0,187,69.2,2020/09/27 18:34:38+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.591808,0,0,188,69.2,2020/09/27 18:34:39+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.591858,0,0,189,69.2,2020/09/27 18:34:40+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.591904,0,0,190,69.2,2020/09/27 18:34:41+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.591946,0,0,191,69.2,2020/09/27 18:34:42+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.591995,0,0,192,69.2,2020/09/27 18:34:43+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.592037,0,0,193,69.2,2020/09/27 18:34:44+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.592083,0,0,194,69.2,2020/09/27 18:34:45+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.592129,0,0,195,69.2,2020/09/27 18:34:46+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.592171,0,0,196,69.2,2020/09/27 18:34:47+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.592216,0,0,197,69.3999999,2020/09/27 18:34:48+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.592266,0,0,198,69.3999999,2020/09/27 18:34:49+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.592312,0,0,199,69.3999999,2020/09/27 18:34:50+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.5923609,0,0,200,69.3999999,2020/09/27 18:34:51+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.592411,0,0,201,69.3999999,2020/09/27 18:34:52+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.592464,0,0,202,69.3999999,2020/09/27 18:34:53+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.592518,0,0,203,69.6,2020/09/27 18:34:54+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.592571,0,0,204,69.6,2020/09/27 18:34:55+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.592625,0,0,205,69.6,2020/09/27 18:34:56+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.592674,0,0,206,69.6,2020/09/27 18:34:57+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.5927239,0,0,207,69.7999999,2020/09/27 18:34:58+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.59277,0,0,208,70,2020/09/27 18:34:59+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.592812,0,0,209,70,2020/09/27 18:35:00+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.592857,0,0,210,70.2,2020/09/27 18:35:01+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.592903,0,0,211,70.2,2020/09/27 18:35:02+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.592949,0,0,212,70.3999999,2020/09/27 18:35:03+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.592995,0,0,213,70.3999999,2020/09/27 18:35:04+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.593044,0,0,214,70.3999999,2020/09/27 18:35:05+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.5930899,0,0,215,70.3999999,2020/09/27 18:35:06+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.593132,0,0,216,70.3999999,2020/09/27 18:35:07+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.593174,0,0,217,70.3999999,2020/09/27 18:35:08+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.593216,0,0,218,70.6,2020/09/27 18:35:09+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.593258,0,0,219,70.6,2020/09/27 18:35:10+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.593296,0,0,220,70.6,2020/09/27 18:35:11+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.593334,0,0,221,70.6,2020/09/27 18:35:12+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.593369,0,0,222,70.6,2020/09/27 18:35:13+00,,,,,,,,,,,,,,,,,,,,,
